guide,how-to-design-a-leave-policy-that-balances-employee-needs-and-business-continuity,"How to design a leave policy that balances employee needs and business continuity","Leave Policy Design — Balances Employee Needs and Business Continuity | TBC","Most SME leave policies create resentment or confusion. Learn how to design a fair, consistent leave policy that reduces HR overhead. TBC, NCR.",P7
guide,how-to-manage-maternity-leave-compliantly-and-supportively,"How to manage maternity leave compliantly and supportively","Maternity Leave Management — Compliant and Supportive Implementation | TBC","The Maternity Benefit Act mandates 26 weeks of paid leave. Learn how to manage maternity leave compliantly and build your employer brand. TBC, NCR.",P7
guide,how-to-build-an-onboarding-process-that-gets-new-employees-productive-faster,"How to build an onboarding process that gets new employees productive faster","Employee Onboarding Process — Getting New Hires Productive Faster | TBC","The first 90 days determine whether a new hire succeeds or exits early. Learn how to build an onboarding process for higher productivity. TBC, NCR.",P2
guide,how-to-conduct-exit-interviews-that-give-you-useful-information,"How to conduct exit interviews that give you useful information","Exit Interviews — Getting Useful HR Intelligence | TBC","Exit interviews are often wasted sources of HR intelligence. Learn how to conduct them correctly to reveal the real reasons people leave. TBC, NCR.",P2
guide,how-to-build-an-hr-dashboard-that-gives-you-real-visibility-into-your-workforce,"How to build an HR dashboard that gives you real visibility into your workforce","HR Dashboards — Getting Real Visibility Into Your Workforce | TBC","Relying on qualitative feelings about your team isn't enough. Learn how to build an HR dashboard with the 8 metrics predicting problems. TBC, NCR.",P2
guide,how-to-run-a-salary-benchmarking-exercise-for-your-industry,"How to run a salary benchmarking exercise for your industry","Salary Benchmarking — Comparing Compensation Levels in Your Industry | TBC","Without benchmarking, you risk overpaying or causing underpayment attrition. Learn how to run a salary benchmarking exercise correctly. TBC, NCR.",P2
guide,how-to-implement-a-360-degree-feedback-process-that-actually-improves-performance,"How to implement a 360-degree feedback process that actually improves performance","360-Degree Feedback — Implementing Processes That Improve Performance | TBC","Poorly implemented 360 feedback damages trust and provides no insights. Learn how to design a feedback process that actually works. TBC, NCR.",P2
guide,how-to-manage-gratuity-obligations-as-your-team-grows,"How to manage gratuity obligations as your team grows","Gratuity Obligations — Managing Long-Term Employment Liabilities | TBC","Gratuity is a significant long-term liability that requires active management. Learn how to fund and manage gratuity as your team grows. TBC, NCR.",P3
guide,how-to-handle-disciplinary-action-without-creating-legal-liability,"How to handle disciplinary action without creating legal liability","Disciplinary Action — Handling Misconduct Without Legal Liability | TBC","Poorly managed disciplinary processes create significant legal risks. Learn how to handle disciplinary action following natural justice. TBC, NCR.",P7
guide,how-to-manage-the-shops-and-establishments-act-compliance-for-your-office,"How to manage the Shops and Establishments Act compliance for your office","Shops and Establishments Act — Managing State Compliance for Your Office | TBC","Every commercial establishment must register under the state-specific Act. Learn how to manage Shops and Establishments Act compliance. TBC, NCR.",P2
guide,how-to-implement-a-non-solicitation-and-confidentiality-policy-that-actually-works,"How to implement a non-solicitation and confidentiality policy that actually works","Non-Solicitation Policy — Protecting Client Relationships and Data | TBC","Protecting your client relationships and confidential information is crucial. Learn how to implement enforceable non-solicitation policies. TBC, NCR.",P7
guide,how-to-handle-tds-on-salary-correctly-the-most-common-payroll-mistakes,"How to handle TDS on salary correctly — the most common payroll mistakes","TDS on Salary — Handling the Most Common Payroll Mistakes | TBC","TDS computation errors create significant issues for both employer and employee. Learn how to handle TDS correctly and prevent mistakes. TBC, NCR.",P4
guide,how-to-manage-payroll-for-contractual-and-part-time-staff,"How to manage payroll for contractual and part-time staff","Contractual Staff Payroll — Managing Compliance and Calculations | TBC","Contractual and part-time staff require statutory compliance with specific calculations. Learn how to manage payroll and close compliance gaps. TBC, NCR.",P4
guide,how-to-set-the-esop-exercise-price-and-fair-market-value,"How to set the ESOP exercise price and fair market value","ESOP Exercise Price — Setting the Fair Market Value | TBC","Getting the ESOP exercise price wrong has serious tax and legal consequences. Learn how to set the fair market value for your company. TBC, NCR.",P1
guide,how-to-run-an-esop-buyback-or-secondary-transaction,"How to run an ESOP buyback or secondary transaction","ESOP Buyback — Structuring Secondary Transactions for Liquidity | TBC","Illiquid ESOPs undermine retention value for employees who need cash. Learn how to run an ESOP buyback to provide structured liquidity. TBC, NCR.",P7
guide,how-to-handle-pf-inspection-and-audit-by-epfo-officers,"How to handle PF inspection and audit by EPFO officers","PF Inspection and Audit — Handling EPFO Officer Verifications | TBC","EPFO inspections verify compliance and can lead to penalties if unprepared. Learn how to prepare for and handle PF audits successfully. TBC, NCR.",P7
guide,how-to-manage-employees-who-refuse-to-enrol-in-pf,"How to manage employees who refuse to enrol in PF","PF Enrolment — Managing Employees Who Refuse to Enrol | TBC","Some eligible employees resist PF enrolment, but there is no legal right to opt out. Learn how to manage mandatory PF enrolment strictly. TBC, NCR.",P2
